id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename,classification,direction,xml_earliest,xml_latest,date_structure,exact_order_needs_review,source_date_flags,prospective_role,xml_path,xml_sha256,xml_url,letter_page_url
DCP-LETT-37,Mostyn Owen,Fanny,Darwin,C. R.,1828-01-01,[Jan 1828],[Brighton],,DAR 204: 42,,,DCP-LETT-37.xml,safe_within_period,to_darwin,1828-01-01,1828-01-31,bounded_range,True,editorially_supplied_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-37.xml,e36b8e47cc8359987b6888c813f8d13a64e5771e3d1fdac4cf22c93f2570e7d3,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-37.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-37.xml
DCP-LETT-38,Mostyn Owen,Fanny,Darwin,C. R.,1828-01-01,[late Jan 1828],[Brighton],,DAR 204: 43,,,DCP-LETT-38.xml,safe_within_period,to_darwin,1828-01-01,1828-01-31,bounded_range,True,editorially_supplied_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-38.xml,4c02d885d9c8b9b73f891ce35db86a450cbcbc3a567cc843fa35a3edd9a187af,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-38.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-38.xml
DCP-LETT-39,Mostyn Owen,S. H.,Darwin,C. R.,1828-02-18,18 Feb [1828],"The Forest, [Woodhouse]",,DAR 204: 59,,,DCP-LETT-39.xml,safe_within_period,to_darwin,1828-02-18,1828-02-18,single_xml_day,False,editorially_supplied_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-39.xml,e6bac50d82ab7f11da5e72eca914d5c21f1510ad5975de32ad2f59c4308ea48e,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-39.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml
DCP-LETT-40,Mostyn Owen,Fanny,Darwin,C. R.,1828-03-09,[9 Mar 1828],"The Forest, [Woodhouse]",,DAR 204: 44,,,DCP-LETT-40.xml,safe_within_period,to_darwin,1828-03-09,1828-03-09,single_xml_day,False,editorially_supplied_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-40.xml,e5fc2396b1a3953944d31539b3003b7345c2bab8bc3e5514e02d9fd7267ff0dd,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-40.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml
DCP-LETT-41,Mostyn Owen,S. H.,Darwin,C. R.,1828-03-30,30 Mar [1828],Woodhouse,,DAR 204: 60,,,DCP-LETT-41.xml,safe_within_period,to_darwin,1828-03-30,1828-03-30,single_xml_day,False,editorially_supplied_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-41.xml,01582dad9e09742d52bef3c13000b0100c2fea02700b4ab1dd13cf4c4b06ca42,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-41.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-41.xml
DCP-LETT-42,Darwin,C. R.,Fox,W. D.,1828-06-12,12 [June 1828],Shrewsbury,,"Christ’s College Library, Cambridge (MS 53 Fox 1)",,,DCP-LETT-42.xml,safe_within_period,from_darwin,1828-06-12,1828-06-12,single_xml_day,False,editorially_supplied_component,dated_grounding_unless_inbound_reply_link_is_established,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-42.xml,e86a89b025417de7685b61efc8596ad2c724cf9fb8b002a5f5ed142a202a843a,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-42.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-42.xml
DCP-LETT-43,Darwin,C. R.,Fox,W. D.,1828-06-30,[30 June 1828],[Shrewsbury],,"Christ’s College Library, Cambridge (MS 53 Fox 2)",,,DCP-LETT-43.xml,safe_within_period,from_darwin,1828-06-30,1828-06-30,single_xml_day,False,editorially_supplied_component,dated_grounding_unless_inbound_reply_link_is_established,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-43.xml,063f07f974c4844f6d35b61344fe9d946c2ccdbc3f4911e28477b844da0fd3e8,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-43.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-43.xml
DCP-LETT-44,Mostyn Owen,Fanny,Darwin,C. R.,1828-07-01,[July? 1828],unstated,,DAR 204: 45,,,DCP-LETT-44.xml,safe_within_period,to_darwin,1828-07-01,1828-07-31,bounded_range,True,editorially_supplied_component; questioned_component,incoming_context_pending_receipt_and_reply_evidence,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-44.xml,37ac097cfc894b768a1dcfa4fc17f2eb3e50ca95d09feb148845e52a677a81a8,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-44.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-44.xml
DCP-LETT-45,Darwin,C. R.,Fox,W. D.,1828-07-29,[29 July 1828],Barmouth,,"Christ’s College Library, Cambridge (MS 53 Fox 3)",,,DCP-LETT-45.xml,safe_within_period,from_darwin,1828-07-29,1828-07-29,single_xml_day,False,editorially_supplied_component,dated_grounding_unless_inbound_reply_link_is_established,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-45.xml,3c8f9c1617df42ca8b3db1997a22765946dc943004595007a1971fcd6e093a0c,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-45.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-45.xml
DCP-LETT-45A,Darwin,C. R.,Whitley,C. T.,1828-08-10,[10 Aug 1828],[Barmouth],,"Shrewsbury School, Taylor Library",,,DCP-LETT-45A.xml,safe_within_period,from_darwin,1828-08-10,1828-08-10,single_xml_day,False,editorially_supplied_component,dated_grounding_unless_inbound_reply_link_is_established,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/letters/DCP-LETT-45A.xml,e85e430f18fbb1ac94c28001ac8ba5b44ade19344fece871ece7597eea6cfc72,https://raw.githubusercontent.com/cambridge-collection/epsilon-data/ab0d973bae05b54d68d82d068211015996cfec06/xml/darwin-correspondence/letters/DCP-LETT-45A.xml,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-45A.xml
