id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename,classification,direction,xml_earliest,xml_latest,date_structure,exact_order_needs_review,xml_path,xml_sha256
DCP-LETT-326,Darwin,C. R.,Caius College,,1836-12-19,[19 Dec 1836 – 6 Mar 1837],Cambridge,,American Philosophical Society (Mss.B.D25.7),,,DCP-LETT-326.xml,ambiguous_period,from_darwin,1836-12-19,1837-03-06,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-326.xml,d5913b4b3ad7a7bb5ecf4e6e57ef63df14bf2c77e9c4e9905d6bb5856015abc2
DCP-LETT-339,Darwin,C. R.,Herbert,J. M.,1837-01-01,[1 Jan 1837],"London, Fitzwilliam St, 3",,"Natural History Museum, Library and Archives (General Special Collections DC AL 1/1)",,,DCP-LETT-339.xml,safe_within_period,from_darwin,1837-01-01,1837-01-01,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-339.xml,27315817c3336e532469ede484ff326f510e197fb59b744dd2c806de991ca25e
DCP-LETT-340,Mostyn Owen,Fanny,Darwin,C. R.,1837-01-14,14 Jan 1837,Chirk Castle,,DAR 204: 57,,,DCP-LETT-340.xml,safe_within_period,to_darwin,1837-01-14,1837-01-14,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-340.xml,1e423379e7edd479d840b005eb9f3f790897f974f44d22b476e14ba52b8e98b2
DCP-LETT-341,Darwin,Catherine,Darwin,C. R.,1837-01-15,15 [Jan 1837],Shrewsbury,,DAR 204: 142,,,DCP-LETT-341.xml,safe_within_period,to_darwin,1837-01-15,1837-01-15,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-341.xml,dc443a4401db3e7786e32ce340ff162854492ba13d603c5190146ac71f227b72
DCP-LETT-342,Darwin,C. R.,Unidentified,,1837-01-19,[19 Jan 1837],Cambridge,,DAR 204: 142v,,,DCP-LETT-342.xml,safe_within_period,from_darwin,1837-01-19,1837-01-19,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-342.xml,a0b2c500b584b3d4391c43f2e709aaed0b2f9d296855b9865b4d9db05d7e1866
DCP-LETT-343,Lyell,Charles,Darwin,C. R.,1837-02-13,13 Feb 1837,unstated,,The University of Edinburgh Centre for Research Collections (Lyell Collection Coll-203/B9),,,DCP-LETT-343.xml,safe_within_period,to_darwin,1837-02-13,1837-02-13,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-343.xml,6902bb88ba8f49b13c54ba3e612fe8ec815ca3860621571d707eec9a1bf8f78e
DCP-LETT-344,Darwin,Catherine,Darwin,C. R.,1837-02-16,[16 Feb 1837],Shrewsbury,,DAR 204: 143,,,DCP-LETT-344.xml,safe_within_period,to_darwin,1837-02-16,1837-02-16,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-344.xml,a86de7490cf9ffdb2b19e504be36841cb3d05db4c34230f4ef1392c8f90fe668
DCP-LETT-345,Darwin,Caroline,Darwin,C. R.,1837-02-21,[21 Feb 1837],Shrewsbury,,DAR 204: 141,,,DCP-LETT-345.xml,safe_within_period,to_darwin,1837-02-21,1837-02-21,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-345.xml,57e21fe04bfde7f39011bba69e6123ab7cfde12cb4d8ce5b27b3876998294ef0
DCP-LETT-346,Darwin,C. R.,Darwin,Caroline,1837-02-27,27 Feb 1837,Cambridge,,DAR 154: 51,,,DCP-LETT-346.xml,safe_within_period,from_darwin,1837-02-27,1837-02-27,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-346.xml,344be26cab41023bdbce48df8a6137f2275d9b337bf9bcbbea2393a4a5002227
DCP-LETT-347,Darwin,C. R.,Whewell,William,1837-03-10,[10 Mar 1837],"London, Gt Marlborough St, 43",,"Trinity College Library, Cambridge (Add c 88: 2)",,,DCP-LETT-347.xml,safe_within_period,from_darwin,1837-03-10,1837-03-10,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-347.xml,2a386a9e3ac098f1741d943d82117a5a51018ee055e93751d47390a65fdf2df9
