letter_id,direction,letter_date_original,body_paragraph,matched_text,reference_kind,candidate_group,context,source_url,id
DCP-LETT-37,to_darwin,[Jan 1828],1,the other day,relative_date,relative_correspondence_candidate,I never was so horror struck as to receive your leetle note the other day My conscience upbraided me so much as really to prevent my eating any breakfast altho’ a plate of hot toast was smoaking before me. I reproach myself bitterly with ingratitude for…,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-37.xml,DCP-LETT-37-p1-c60
DCP-LETT-37,to_darwin,[Jan 1828],1,tonight,relative_date,other_body_temporal_reference,"…legant as when I left him— I must conclude this horride scrawl but I have a horride pen and am in a horride hurry—but will send you another effusion soon. I am too stupid & sleepy tonight to do any thing but sleep in the arm chair— I am sure you will say what a stupid prosy creature the Housemaid is become, but remember it is 1828 & she is a year older —",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-37.xml,DCP-LETT-37-p1-c2155
DCP-LETT-37,to_darwin,[Jan 1828],1,1828,year_reference,other_body_temporal_reference,"… soon. I am too stupid & sleepy tonight to do any thing but sleep in the arm chair— I am sure you will say what a stupid prosy creature the Housemaid is become, but remember it is 1828 & she is a year older —",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-37.xml,DCP-LETT-37-p1-c2303
DCP-LETT-37,to_darwin,[Jan 1828],1,a year,elapsed_or_duration,other_body_temporal_reference,"…o stupid & sleepy tonight to do any thing but sleep in the arm chair— I am sure you will say what a stupid prosy creature the Housemaid is become, but remember it is 1828 & she is a year older —",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-37.xml,DCP-LETT-37-p1-c2317
DCP-LETT-38,to_darwin,[late Jan 1828],3,Wednesday,weekday_reference,other_body_temporal_reference,I was at a very gay Ball on Wednesday night plenty of red Coats & Moustachio’s which you say must be pleasant I like Blue & silver better—,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-38.xml,DCP-LETT-38-p3-c28
DCP-LETT-39,to_darwin,18 Feb [1828],1,many days,elapsed_or_duration,relative_correspondence_candidate,"…le studies by “a letter from Sarah Owen, bless me! what can she write to me about.” Indeed Mr. Charles, had I followed my own inclination, you would have been troubled in this way many days, nay, weeks ago but since I received your very agreeable effusion at Brighton, I have been so busy in various ways, that I have hardly had any spare time on my hands— Perhaps you …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p1-c421
DCP-LETT-39,to_darwin,18 Feb [1828],1,a week,elapsed_or_duration,other_body_temporal_reference,"…ceived your very agreeable effusion at Brighton, I have been so busy in various ways, that I have hardly had any spare time on my hands— Perhaps you know that we staid at Brighton a week longer than Papa intended, on account of a very gay Fancy ball given by five & twenty Batchelors, indeed it would have been too provoking to have missed it, for it was an admirabl…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p1-c641
DCP-LETT-39,to_darwin,18 Feb [1828],1,February,month_reference,other_body_temporal_reference,"…n, every body in Fancy dresses or Uniforms, Fanny and I went as She Turks, that is in the dress of Fatima if you ever chaunced to see it, this Festivity took place on the first of February, & lasted till 7 o’clock A.M. on the 2d. of Feby. We had 3 balls, three successive nights before & even my constitution began to fail whatever Mrs. Burton may say or think to the …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p1-c1016
DCP-LETT-39,to_darwin,18 Feb [1828],1,2d. of Feby,calendar_date,other_body_temporal_reference,"…nny and I went as She Turks, that is in the dress of Fatima if you ever chaunced to see it, this Festivity took place on the first of February, & lasted till 7 o’clock A.M. on the 2d. of Feby. We had 3 balls, three successive nights before & even my constitution began to fail whatever Mrs. Burton may say or think to the contrary—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p1-c1062
DCP-LETT-39,to_darwin,18 Feb [1828],2,on the 4th,day_reference,other_body_temporal_reference,"We left Brighton on the 4th. & very sorry I was to go away so soon, I have however no right or cause to complain, for we went there for three weeks & staid ten— We had three very pleasant days in London from…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c17
DCP-LETT-39,to_darwin,18 Feb [1828],2,three weeks,elapsed_or_duration,other_body_temporal_reference,"We left Brighton on the 4th. & very sorry I was to go away so soon, I have however no right or cause to complain, for we went there for three weeks & staid ten— We had three very pleasant days in London from Monday till Friday Morning We were to have left it on Thursday but the Williams begged so hard for another day, that Pa…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c136
DCP-LETT-39,to_darwin,18 Feb [1828],2,Monday,weekday_reference,other_body_temporal_reference,"… & very sorry I was to go away so soon, I have however no right or cause to complain, for we went there for three weeks & staid ten— We had three very pleasant days in London from Monday till Friday Morning We were to have left it on Thursday but the Williams begged so hard for another day, that Papa was obliged to give in. We dined with them every day, & went one…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c208
DCP-LETT-39,to_darwin,18 Feb [1828],2,Friday,weekday_reference,other_body_temporal_reference,"…y I was to go away so soon, I have however no right or cause to complain, for we went there for three weeks & staid ten— We had three very pleasant days in London from Monday till Friday Morning We were to have left it on Thursday but the Williams begged so hard for another day, that Papa was obliged to give in. We dined with them every day, & went one evening to …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c220
DCP-LETT-39,to_darwin,18 Feb [1828],2,Thursday,weekday_reference,other_body_temporal_reference,"… no right or cause to complain, for we went there for three weeks & staid ten— We had three very pleasant days in London from Monday till Friday Morning We were to have left it on Thursday but the Williams begged so hard for another day, that Papa was obliged to give in. We dined with them every day, & went one evening to the French Play, which I enjoyed very much, …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c262
DCP-LETT-39,to_darwin,18 Feb [1828],2,last night,relative_date,other_body_temporal_reference,"… another day, that Papa was obliged to give in. We dined with them every day, & went one evening to the French Play, which I enjoyed very much, (as you will easily believe), & the last night we went, a party of twelve, to Covent Garden, & the great Ricciardo gave us a farewell Supper in his rooms, which are very magnificent— The party there consisted of Mr Williams, E…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c486
DCP-LETT-39,to_darwin,18 Feb [1828],2,following Morning,relative_date,relative_correspondence_candidate,"…er, & he was quite as agreeable as usual— Mr. Hopkinson sang two or three excellent songs, & “the evening was passed in the utmost ar mony” &c &c &c. We left London very early the following Morning, & arrived here on Saturday night, found Owen, Aunt Laura Caddy & Emma waiting to receive us, & here my Personal Narrative ends, for since that moment, I have not been outside the…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c1063
DCP-LETT-39,to_darwin,18 Feb [1828],2,Saturday,weekday_reference,relative_correspondence_candidate,"…ual— Mr. Hopkinson sang two or three excellent songs, & “the evening was passed in the utmost ar mony” &c &c &c. We left London very early the following Morning, & arrived here on Saturday night, found Owen, Aunt Laura Caddy & Emma waiting to receive us, & here my Personal Narrative ends, for since that moment, I have not been outside the Barriers of the Forest, or …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p2-c1100
DCP-LETT-39,to_darwin,18 Feb [1828],3,last week,relative_date,relative_correspondence_candidate,"The Tranquillity here is indeed truly awful, & there is no saying how long it may last, I wrote last week to implore Caroline Susan or Catherine to come to our assistance, but I am sorry to say they returned a flat denial, as Mr. & Mrs. Wedgwood &c &c. are now staying with th⁠⟨⁠em⁠⟩⁠—…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p3-c96
DCP-LETT-39,to_darwin,18 Feb [1828],3,many days ago,elapsed_or_duration,other_body_temporal_reference,"…g every day, Heaven knows what effect this Frost & Snow may have on the sloping banks of the Meandering Severn!! I hear that Susan’s sensitive feelings suffered a severe shock not many days ago, on hearing two unfeeling Men conversing (near the walk overhanging the precipice) on the melancholy fact, they concluded by remarking “it is a very pretty house, more’s the pity …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p3-c747
DCP-LETT-39,to_darwin,18 Feb [1828],3,last night,relative_date,other_body_temporal_reference,"…bsence I am glad some people were missed, as that circumstance may perhaps induce you to stay longer, when some people are to be found in Paradise— A sad Catastrophe occurred here last night, one of the black Carriage horses which has been indisposed for some days, expired, deeply lamented by all whom he had drawn or followed after. I hope the Andalusian may not catch…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p3-c1732
DCP-LETT-39,to_darwin,18 Feb [1828],6,today,relative_date,other_body_temporal_reference,Owen returned today from a ⁠⟨⁠ ⁠⟩⁠ bliss at Chillington.,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-39.xml,DCP-LETT-39-p6-c14
DCP-LETT-40,to_darwin,[9 Mar 1828],1,last week,relative_date,other_body_temporal_reference,"… any body ever was before or I should hope ever will be again—not a whisper, not the ghost of a mystery have I worth retailing— The only time we have been out since our return was last week to Tommy Hunts quite brilliant festivities. Sarah Owen & yr. humble servant were there for two days, tolerably good fun considering it was at the Prêtre’s, and Lloyd Kenyon the He…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml,DCP-LETT-40-p1-c639
DCP-LETT-40,to_darwin,[9 Mar 1828],1,two days,elapsed_or_duration,other_body_temporal_reference,"…ry have I worth retailing— The only time we have been out since our return was last week to Tommy Hunts quite brilliant festivities. Sarah Owen & yr. humble servant were there for two days, tolerably good fun considering it was at the Prêtre’s, and Lloyd Kenyon the Hero of the fête, it being a sort of farewell Rigadoon before that interesting youth join’d his regime…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml,DCP-LETT-40-p1-c740
DCP-LETT-40,to_darwin,[9 Mar 1828],1,few days ago,elapsed_or_duration,other_body_temporal_reference,"…un considering it was at the Prêtre’s, and Lloyd Kenyon the Hero of the fête, it being a sort of farewell Rigadoon before that interesting youth join’d his regiment which he did a few days ago to our unspeakable dispair —for Oh! how he used to come and sit and eat and sit till we thought he must have grown to his chair —",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml,DCP-LETT-40-p1-c946
DCP-LETT-40,to_darwin,[9 Mar 1828],2,next week,relative_date,other_body_temporal_reference,We have tried in vain to get your sisters here—for a little larking & scandal but as I suppose you know the Wedgewoods have been there for a long time thank heaven’s they go next week and Caroline & Catherine have promis’d to ride over to pay us a visit— I wish you were to be of the party but “brighter hours will come” and I look forward to yr paying us a long …,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml,DCP-LETT-40-p2-c174
DCP-LETT-40,to_darwin,[9 Mar 1828],3,this morning,relative_date,other_body_temporal_reference,"William Hill is the only visitor we have had, he has been here almost ever since we came home, but departed this morning per Coach to London on his road to Paris and Italy happy fellow!!— The Assizes are on the 20th. and we expect a visitation from that insinivating Counsellor Mr. Alexander. There i…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-40.xml,DCP-LETT-40-p3-c108
