letter_id,direction,letter_date_original,body_paragraph,matched_text,reference_kind,context,source_url,id
DCP-LETT-42,from_darwin,12 [June 1828],5,before the 22d,day_reference,"…d long letter about yourself & all other insects: My plans remain the same as formerly. I am going to Barmouth for two months.— If you have not written to my brother, write to him before the 22d. & direct, Poste Restante, Munich I hope you will be able to send me a better account of Miss Fox, when you write; tell me whether you intend going to Tenby?",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-42.xml,DCP-LETT-42-p5-c571
DCP-LETT-45,from_darwin,[29 July 1828],4,sep,month_reference,"Inter Coleoptera—. A carabus, larger than the Violaceus, jet black & smooth.— Of the Carabidæ, one very odd one; black polished; very long; thorax, orbicular, & sep⁠⟨⁠arate⁠⟩⁠ from the abdomen, of this length caught near sea side.— A Donacia, with calves as big as mine; several large Cimices, one most beautiful, scarlet & black;— a red & blac…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-45.xml,DCP-LETT-45-p4-c161
DCP-LETT-45A,from_darwin,[10 Aug 1828],2,on the 27th,day_reference,"…actory scr⁠⟨⁠awl⁠⟩⁠ pretends to be nothing but what it really is.— If you condescend to answer this, which God knows is not worthy of an answer, you must direct, to Shrewsbury, as on the 27th I leave this place. Herbert says he intends writing soon to you.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-45A.xml,DCP-LETT-45A-p2-c851
DCP-LETT-46,from_darwin,[19 Aug 1828],4,on the 27th,day_reference,"I hope, if you can, that you will answer this letter directly, as on the 27th. I leave for Shrewsbury, direct Post Office Barmouth: Look over my former letters, & answer my Entomolo: questions. It is quite absurd how interested I am getting about the scienc…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-46.xml,DCP-LETT-46-p4-c66
DCP-LETT-46,from_darwin,[19 Aug 1828],6,October,month_reference,"…e experiment to be tried A part of your letter has given me a Panic, you say you do not know when you shall return to Cambridge I most sincerely hope it only means at what time in October I should be quite lost without my good old Entomological Tutor.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-46.xml,DCP-LETT-46-p6-c395
DCP-LETT-46,from_darwin,[19 Aug 1828],10,before the 27th,day_reference,Perhaps you had better direct to Shrewsbury as there is hardly time to receive a letter before the 27th.,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-46.xml,DCP-LETT-46-p10-c88
DCP-LETT-66,from_darwin,7 June [1829],1,October,month_reference,"…er to see about your commissions, then write to you & wait for an answer: accordingly I have been obliged to act to the best in my power, & the imperfections must be supplied next October: I booked & sent of per waggon, a portmanteau & deal box yesterday, containing I hope & trust every thing except your skins of birds & prints; Pulleine had left such imperfect dir…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-66.xml,DCP-LETT-66-p1-c232
DCP-LETT-70,from_darwin,26 [Aug 1829],1,September,month_reference,"… much obliged for your most kind & welcome invitation to Osmaston. And, as by good luck your visit into Yorkshire has been delayed, if it will suit you, I will come there early in September.— I intend going to Maer for the first, & shall stay there about a week, after which I will come through Newcastle to Derby.— I will write & let you know when I can find out about…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-70.xml,DCP-LETT-70-p1-c311
DCP-LETT-82,from_darwin,25 [Aug 1830],2,October,month_reference,"…e.— of course every thing my rooms contain is most entirely at your service: you do not know how it would please me if there is any chance of your being there in the first week in October, by which time I would be up, if it were merely to eat our breakfasts together as we did in good old times.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-82.xml,DCP-LETT-82-p2-c471
DCP-LETT-82,from_darwin,25 [Aug 1830],3,September,month_reference,"I shall be at Maer for the first week or 10 days in September, & write to me there, (direction is Maer, Newcastle, Staffordshire) & tell me your plans.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-82.xml,DCP-LETT-82-p3-c52
DCP-LETT-102A,from_darwin,[19 July 1831],2,August,month_reference,"…erve even so long a letter, as I have written. You do not even mention how you like Barmouth, whom you have there, what you do &c &c &c.— I think I shall most certainly see you in August till then, believe me dear Whitley | yours Chas Darwin.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-102A.xml,DCP-LETT-102A-p2-c194
DCP-LETT-106,to_darwin,[c. 26 Aug 1831],4,September,month_reference,"The ship sails about the end of September & you must lose no time in making known your acceptance to Captain Beaufort, Admiralty hydr I have had a good deal of correspondence about this matter, who feels in common with my…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-106.xml,DCP-LETT-106-p4-c32
DCP-LETT-107,from_darwin,30 [Aug 1831],2,October,month_reference,"…Naturalist was not long ago fixed upon?— I am very much obliged for the trouble you have had about it—there certainly could not have been a better opportunity.— I shall come up in October to Cambridge, when I long to have some talk with you.— I will write to Mr. Peacock at Denton, (in Durham?) but his direction is written so badly, that even with the assistance of …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-107.xml,DCP-LETT-107-p2-c208
DCP-LETT-120,from_darwin,6 [Sept 1831],1,29th of August,calendar_date,"When you read this you will understand why I have not answered your letter earlier.— I returned from a geological trip with Prof: Sedgwick in N Wales on Monday 29th of August.— I found your letter there, & with a joint one from Henslow & Peacock of Trinity, offering me the place of Naturalist in a vessel fitted for going round the world.— This I at fir…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-120.xml,DCP-LETT-120-p1-c160
DCP-LETT-120,from_darwin,6 [Sept 1831],1,1st of September,calendar_date,"…d.— This I at first, (owing to my Father not liking it I refused) but my Uncle, Mr. Wedgwood, took every thing in such a different point of view, that we returned to Shrewsbury on 1st of September, & convinced my Father.— On 2d started for Cam: then again from a discouraging letter from my captain I again gave it up. But yesterday every thing was smoother.—& I think it most…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-120.xml,DCP-LETT-120-p1-c517
DCP-LETT-120,from_darwin,6 [Sept 1831],1,On 2d,day_reference,"…ot liking it I refused) but my Uncle, Mr. Wedgwood, took every thing in such a different point of view, that we returned to Shrewsbury on 1st of September, & convinced my Father.— On 2d started for Cam: then again from a discouraging letter from my captain I again gave it up. But yesterday every thing was smoother.—& I think it most probable I shall go: but it is…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-120.xml,DCP-LETT-120-p1-c559
DCP-LETT-120,from_darwin,6 [Sept 1831],1,10th October,calendar_date,"…in S America chiefly S. extremity, we shall see every principle city in it.—then through South sea islands, Australia, India, Home.— Of course nothing is quite certain. we sail on 10th October.— of course I will write to you again.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-120.xml,DCP-LETT-120-p1-c1256
DCP-LETT-125,to_darwin,13 Sept 1831,2,Octr. 1st,calendar_date,"… walk home. We heard of Miller geologizing at Harlech, & I have despatched your letter to Sedgwick, at Caernarfon. We are going on in the usual way & I hope to be at Shrewsbury by Octr. 1st. Now I expect that you will write to me, if it be only a letter of three lines, to say if you shall be at Salop again & when? in as much as I desire greatly to see you again. You …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-125.xml,DCP-LETT-125-p2-c435
DCP-LETT-131,from_darwin,[19 Sept 1831],1,1st. of October,calendar_date,"…t your kindness in helping me in every possible way to my end with the truest pleasure.— I start for Cam tonight, and from thence to Shrewsbury and shall again be in London by the 1st. of October. If you have time and have anything to communicate, I shall be most grateful for a letter as I shall be anxious to hear how everything is going on. Captn. Beaufort said he thought…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-131.xml,DCP-LETT-131-p1-c1564
DCP-LETT-132,from_darwin,19 [Sept 1831],3,1st of October,calendar_date,"…mail to Cambridge, & from thence after settling my affairs proceed to Shrewsbury (most likely on Friday 23d or perhaps before): there I shall stay a few days & be in London by the 1st of October, & start for Plymouth on the 9th.— And now for the principal part of my letter.— I do not know how to tell you how very kind I feel your offer of coming to see me before I leave E…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-132.xml,DCP-LETT-132-p3-c252
DCP-LETT-132,from_darwin,19 [Sept 1831],3,on the 9th,day_reference,"…r settling my affairs proceed to Shrewsbury (most likely on Friday 23d or perhaps before): there I shall stay a few days & be in London by the 1st of October, & start for Plymouth on the 9th.— And now for the principal part of my letter.— I do not know how to tell you how very kind I feel your offer of coming to see me before I leave England.— Indeed I should like it …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-132.xml,DCP-LETT-132-p3-c289
DCP-LETT-140,from_darwin,[4 or 11] Oct 1831,2,November,month_reference,"…ge you may choose:— I will write to him on the subject: I am so very busy, as never was anything like it before: I have hardly time to look about me: I suppose we do not sail till November, so that I will, of course write to you from Devonport.— Mr. Brown has been of great use to me, & most exceedingly pleasant & goodnatured.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-140.xml,DCP-LETT-140-p2-c637
DCP-LETT-140,from_darwin,[4 or 11] Oct 1831,4,16th,bare_day_reference,"Will you be kind enough to write to me, before I leave London on Sunday 16th. about consingements",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-140.xml,DCP-LETT-140-p4-c72
DCP-LETT-141,to_darwin,[6 Oct 1831],1,on the 15th,day_reference,…he Forest without you—& how sorry I shall be to have nobody to scold out of the Painting room— I have heard no particulars of your voyage from any body but that you expect to sail on the 15th—if you have a little spare half hour before you go do write to me again I should like so much to hear from you and direct Post Office Leamington— I shall be staying there for a fe…,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-141.xml,DCP-LETT-141-p1-c1195
DCP-LETT-144,from_darwin,30 [Oct 1831],1,2d,bare_day_reference,"…my 11 books of Euclid, & first part of Algebra (including binomial theorem?) I may then begin Trigonometry after which must I begin Spherical? are there any important parts in the 2d & 3d parts of Woods Algebra.— It is almost a shame to ask you, but I should be much obliged if you would write to me pretty soon.— You must be very busy; for if Messrs. Askew & Da…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-144.xml,DCP-LETT-144-p1-c2199
DCP-LETT-144,from_darwin,30 [Oct 1831],1,3d,bare_day_reference,"… books of Euclid, & first part of Algebra (including binomial theorem?) I may then begin Trigonometry after which must I begin Spherical? are there any important parts in the 2d & 3d parts of Woods Algebra.— It is almost a shame to ask you, but I should be much obliged if you would write to me pretty soon.— You must be very busy; for if Messrs. Askew & Darnell…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-144.xml,DCP-LETT-144-p1-c2204
DCP-LETT-149,from_darwin,17 [Nov 1831],1,till the 5th,day_reference,"I daresay you will be surprised to see my hand-writing, you I suppose thought that I was far on the high seas.— We have had delay after delay & now we do not sail till the 5th of next month.— I always had intended writing to you before making my final exit.— But as that period is so far distant.—I made up my mind to do it earlier.— I do not think I can …",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-149.xml,DCP-LETT-149-p1-c163
DCP-LETT-149,from_darwin,17 [Nov 1831],3,5th,bare_day_reference,"…hink that I, an unfortunate landsman, am going to undertake such a voyage,—I long for the time, when sea sickness will drown all such feelings & that time I do suppose will be the 5th of next month.— Will you write to me, & tell me, how you are getting on.— I heard of you at the Music Meeting & that you sat by the incomparable Charlotte. Report progress. I have…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-149.xml,DCP-LETT-149-p3-c1186
DCP-LETT-152,from_darwin,3 Dec [1831],2,February,month_reference,"…urs, & that it is your bounden duty to lecture me.— I will now give you my direction: it is, at first, Rio; but, if you will send me letter on first Tuesday (when packet sails) in February, directed to Monte Video, it will give me very great pleasure. I shall so much enjoy hearing a little Cambridge news.— Poor dear old Alma Mater. I am a very worthy son in as far a…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-152.xml,DCP-LETT-152-p2-c240
DCP-LETT-153,to_darwin,20–31 Dec [1831],2,January,month_reference,"…m our having forgotten to write, but from its having miscarried— Mr. Towers tells us that Government Packets sail the first Tuesday in every month & I shall send of this letter by January Packet. remember how long the communication must be between us & give directions in proper time how long we are to continue writing to Monte Video & where afterwards— & now I want…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p2-c1503
DCP-LETT-153,to_darwin,20–31 Dec [1831],5,Dec 29th,calendar_date,Dec 29th. Dear Charles I have just had your letter of the 27th. on the point of sailing & I must say a few words to you for after reading any of your charming letters I never can read for …,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p5-c0
DCP-LETT-153,to_darwin,20–31 Dec [1831],5,of the 27th,day_reference,Dec 29th. Dear Charles I have just had your letter of the 27th. on the point of sailing & I must say a few words to you for after reading any of your charming letters I never can read for very long afterwards & usually take a solo walk & thin…,https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p5-c51
DCP-LETT-153,to_darwin,20–31 Dec [1831],6,Decr 31,calendar_date,"Decr 31. I got your second letter on Thursday written when the “anchors were weighing, sails, unfurling”—& as my letter written on Tuesday returned this morning with (The Beagle has saile…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p6-c0
DCP-LETT-153,to_darwin,20–31 Dec [1831],8,February,month_reference,"Susan and Cath want this flap to write a few lines to you, but their long letter will go by February packet directed to Rio unless in the mean time we have fresh direction— If you write to Eras, shall you direct to his Club? as he talks of leaving his Regent St. lodging—but he ha…",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p8-c92
DCP-LETT-153,to_darwin,20–31 Dec [1831],12,1st of February,calendar_date,"…uch affection and feeling. I wish you could see his countenance about you. I have been several times at Woodhouse lately, for Balls. I will write more to you, I am determined, the 1st of February. Goodbye, my dearest Charles, | Catherine.—",https://www.darwinproject.ac.uk/letter/?docId=letters/DCP-LETT-153.xml,DCP-LETT-153-p12-c1002
